zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91915,r,2028,4,38978.39,40035.5,367433.36,120056.1
91916,c,2026,1,0,0,0,0
91916,c,2026,2,0,0,0,0
91916,c,2026,3,0,0,0,0
91916,c,2026,4,0,0,0,0
91916,c,2027,1,0,0,0,0
91916,c,2027,2,0,0,0,0
91916,c,2027,3,0,0,0,0
91916,c,2027,4,0,0,0,0
91916,c,2028,1,0,0,0,0
91916,c,2028,2,0,0,0,0
91916,c,2028,3,0,0,0,0
91916,c,2028,4,0,0,0,0
91916,r,2026,1,0,0,0,0
91916,r,2026,2,0,0,0,0
91916,r,2026,3,0,0,0,0
91916,r,2026,4,0,0,0,0
91916,r,2027,1,0,0,0,0
91916,r,2027,2,0,0,0,0
91916,r,2027,3,0,0,0,0
91916,r,2027,4,0,0,0,0
91916,r,2028,1,0,0,0,0
91916,r,2028,2,0,0,0,0
91916,r,2028,3,0,0,0,0
91916,r,2028,4,0,0,0,0
91917,c,2026,1,0,0,0,0
91917,c,2026,2,0,0,0,0
91917,c,2026,3,0,0,0,0
91917,c,2026,4,0,0,0,0
91917,c,2027,1,0,0,0,0
91917,c,2027,2,0,0,0,0
91917,c,2027,3,0,0,0,0
91917,c,2027,4,0,0,0,0
91917,c,2028,1,0,0,0,0
91917,c,2028,2,0,0,0,0
91917,c,2028,3,0,0,0,0
91917,c,2028,4,0,0,0,0
91917,r,2026,1,1022.56,1147.02,9915.94,2711.53
91917,r,2026,2,430.91,439.93,3916.15,1145.8
91917,r,2026,3,0,0,0,0
91917,r,2026,4,0,0,0,0
91917,r,2027,1,1150.22,1172.64,9038.44,2890.86
91917,r,2027,2,442.02,423.76,3819.33,1134.39
91917,r,2027,3,0,0,0,0
91917,r,2027,4,0,0,0,0
91917,r,2028,1,1175.91,1068.87,9636.2,2620.33
91917,r,2028,2,425.78,413.29,3781.31,1205.39
91917,r,2028,3,0,0,0,0
91917,r,2028,4,0,0,0,0
91931,c,2026,1,0,0,0,0
91931,c,2026,2,0,0,0,0
91931,c,2026,3,0,0,0,0
91931,c,2026,4,0,0,0,0
91931,c,2027,1,0,0,0,0
91931,c,2027,2,0,0,0,0
91931,c,2027,3,0,0,0,0
91931,c,2027,4,0,0,0,0
91931,c,2028,1,0,0,0,0
91931,c,2028,2,0,0,0,0
91931,c,2028,3,0,0,0,0
91931,c,2028,4,0,0,0,0
91931,r,2026,1,0,0,0,0
91931,r,2026,2,0,0,0,0
91931,r,2026,3,0,0,0,0
91931,r,2026,4,0,0,0,0
91931,r,2027,1,0,0,0,0
91931,r,2027,2,0,0,0,0
91931,r,2027,3,0,0,0,0
91931,r,2027,4,0,0,0,0
91931,r,2028,1,0,0,0,0
91931,r,2028,2,0,0,0,0
91931,r,2028,3,0,0,0,0
91931,r,2028,4,0,0,0,0
91932,c,2026,1,3712.56,0,27063.4,8110.99
91932,c,2026,2,4886.11,4688.81,36355.9,12161.68
91932,c,2026,3,13231.62,13053.12,115462.67,35016.61
91932,c,2026,4,11426.44,9928.39,85038.42,26673.6
91932,c,2027,1,3543.89,0,27036.64,7552.51
91932,c,2027,2,4700.84,4850.19,40538.92,11483.96
91932,c,2027,3,13071.76,12762.74,116722.04,31277.44
91932,c,2027,4,9941.44,11112.05,88912.01,26141.95
91932,c,2028,1,3752.31,0,25175.04,7197.71
91932,c,2028,2,4862.63,5408.24,38279.86,11683.72
91932,c,2028,3,12780.97,12901.94,104258.12,35363.44
91932,c,2028,4,11126.66,11618.21,87139.83,24385.71
91932,r,2026,1,27440.33,26793.36,217873.52,71344.64
91932,r,2026,2,24680.26,22634.89,218338.21,66299.39
91932,r,2026,3,32702.28,27932.68,315657.02,99698.08
91932,r,2026,4,27710.75,29739,283200.74,91230.31
91932,r,2027,1,26815.02,23722.41,237815.45,65352.1
91932,r,2027,2,22653.99,21758.71,220997.97,68713.88
91932,r,2027,3,27955.71,32780.56,332326.92,88834.87
91932,r,2027,4,29765.02,29261.53,304101.03,99050.33
91932,r,2028,1,23741.58,25893.71,217840.34,70740.57
91932,r,2028,2,21777.08,22023.77,229046.27,67697.33
